Country,CountryID,Continent,Population_growth,Total_fertility_rate_(per_woman),Population_in_1k,Pop_annual_growth_rate,Pop_proportion_over_60(%),Pop_proportion_under_15(%),Income_per_person,No._of_physicians,Per_capita_expense_on_health($),Adult_mortality_rate(15_to_60_yrs_per_1000),Adult_mortality_rate(15_to_60_yrs_per_1000)female,Adult_mortality_rate_(15_to_60_yrs_per_1000)male,Deaths_due_to_tuberculosis(per_100k),Tuberculosis_Incidence(per_100k_per_yr),Infant_mortality_rate_(per_1000),Life_expectancy_at_birth_(years),Diarrhoeal_death(%)under_5_yrs,Malaria_Death(%)under_5_yrs,Measels_death(%)under_5_yrs,Pneumonia_death(%)under_5_yrs
Belarus,15,2,-0.5,1.2,9742,-0.5,18,15,8541,46359,572,251,131,366,8,61,6,69,1.5,0,0,9
Belgium,16,2,0.55,1.6,10430,0.3,22,17,32077,44124,3183,86,61,111,1,13,4,79,0.3,0,0,0.8
Belize,17,5,3.2,3,282,2.2,6,37,7290,251,426,255,190,314,4,49,14,69,3.5,0,0,6.9
Benin,18,3,3.19,5.6,8760,3.1,4,44,1390,311,46,327,306,349,13,90,88,55,17.1,27.2,5.3,21.1
Bhutan,19,7,2.21,2.3,649,1.8,7,32,3694,52,107,218,180,250,7,96,63,64,20.9,0.8,1.2,18.8
Bolivia,20,5,1.9,3.6,9354,1.9,7,38,3618,10329,204,208,176,242,30,198,50,66,14.3,0.7,0.1,17.1
Bosnia and Herzegovina,21,2,0.25,1.2,3926,0.3,19,17,6506,5540,794,111,72,151,7,51,13,75,0.6,0,0,2.5
Botswana,22,3,1.14,3,1858,1.2,5,35,12057,715,635,468,455,485,31,551,90,52,1.1,0,0.1,1.4
Brazil,23,5,1.35,2.3,189323,1.3,9,28,8596,198153,765,176,121,230,3,50,19,72,12,0.5,0,13.2
Brunei Darussalam,24,6,2.2,2.4,382,2.1,5,29,47465,400,394,88,74,100,9,83,8,77,1.1,0,0,0.7
Bulgaria,25,2,-0.53,1.3,7693,-0.7,23,14,9353,28111,741,157,93,219,5,40,10,73,2.3,0,0,16.1
Burkina Faso,26,3,3.11,6.1,14359,3,4,46,1140,708,87,427,376,483,50,248,122,47,18.8,20.3,3.4,23.3
Burundi,27,3,3.8,6.8,8173,3.9,4,45,420.08,200,15,434,412,461,78,367,109,49,18.2,8.4,3,22.8
Cambodia,28,7,1.7,3.3,14197,1.7,5,37,1453,2047,167,257,207,314,76,500,65,62,16.6,0.9,2.3,20.6
Cameroon,29,3,2.19,4.5,18175,2.1,5,41,1995,3124,80,436,422,451,21,192,87,51,17.3,22.8,4.1,21.5
Canada,30,4,1,1.5,32577,0.9,18,17,35078,62307,3672,72,55,89,0,5,5,81,0.2,0,0,1.1
Cape Verde,31,1,2.32,3.5,519,2.3,5,39,2831,231,278,230,168,308,36,168,25,70,12.2,4.3,4.4,13.3
Central African Republic,32,3,1.64,4.7,4265,1.7,6,42,675,331,55,467,466,471,54,345,114,48,14.7,18.5,6.5,18.7
Chad,33,3,3.36,6.3,10468,3.1,5,46,1749,345,40,445,426,466,63,299,124,46,18.1,22.3,7,22.8
Chile,34,5,1.06,1.9,16465,1,12,24,12262,17250,697,91,60,121,1,15,8,78,0.5,0,0,6.2
China,35,7,0.64,1.7,1328474,0.6,11,21,4091,1862630,342,116,87,143,15,99,20,73,11.8,0.4,0.4,13.4
Colombia,36,5,1.41,2.3,45558,1.4,8,30,6306,58761,626,131,87,176,6,45,17,74,10.3,0.2,0,10.4
Comoros,37,3,2.11,4.5,818,2.5,4,42,1063,115,35,214,177,250,7,44,51,65,13.6,19.4,5.9,16.3
"Congo, Dem. Rep.",38,3,3.15,6.7,60644,3.2,4,47,264,5827,18,417,382,454,69,392,129,47,18.1,16.9,4.7,23.1
"Congo, Rep.",39,3,2.25,4.6,3689,2.2,5,42,3621,756,31,386,367,407,65,403,79,54,11.2,25.7,6.6,13.6
Costa Rica,41,5,1.73,2.1,4399,1.6,8,28,8661,5204,743,95,71,118,1,14,11,78,3,0,0,4
